planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
Kepler-32 c,8.7522,0.09,158.9,2,0.58,3900,NA,NA,Transit
Kepler-29 c,13.28613,NA,4.5,2.34,0.761,5378,NA,0,Transit
Kepler-52 b,7.8773565,NA,135,2.1,0.54,4075,NA,NA,Transit
Kepler-21 b,2.7858212,0.0434,7.5,1.639,1.408,6305,2015,0,Transit
Kepler-24 c,12.33,NA,9.99,2.514,1.06,6028,NA,0.014,Transit
Kepler-418 b,86.67856,NA,349.6112477,13.45,0.98,5820,NA,0.2,Transit
Kepler-407 b,0.6693124,NA,1.93,1.19,0.99,5487,NA,NA,Transit
Kepler-849 b,394.62508,1.137,298.75870258,8.08167508,1.259,5950,362.7,0.078,Transit
Kepler-58 b,10.2184954,NA,35.5,2.78,0.95,5843,NA,NA,Transit
Kepler-432 b,52.501129,0.301,1719.4603,12.834305,1.32,4995,NA,0.5134,Transit
Kepler-282 d,24.806,NA,61,2.46,0.97,NA,NA,NA,Transit
Kepler-57 b,5.72,NA,25.06,3.135,0.859,5187.9,NA,0.0162,Transit
KOI-1257 b,86.647661,0.382,460.83,10.54,0.99,5520,511,0.772,Transit
Kepler-56 c,21.40239,0.1652,181,9.8,1.32,4840,NA,NA,Transit
Kepler-279 c,35.736,NA,49.4,4.3,1.1,NA,NA,NA,Transit
Kepler-278 b,30.1556,0.202,56,3.955,1.227,4965,586,0.696,Transit
Kepler-277 b,17.324,NA,87.3,2.92,1.12,NA,NA,NA,Transit
Kepler-276 c,31.884,NA,16.6,2.9,1.1,NA,NA,NA,Transit
Kepler-289 c,125.8723,NA,157.18,11.23,1.08,5990,NA,NA,Transit
Kepler-419 b,69.7546,0.37,794.5,10.8,1.39,6430,NA,0.833,Transit
Kepler-305 b,5.487,NA,10.5,3.6,0.76,NA,NA,NA,Transit
Kepler-87 b,114.73635,0.481,324.2,13.49,1.1,5600,478,0.036,Transit
Kepler-307 b,10.4208,NA,7.44,2.43,0.907,5367,NA,NA,Transit
KOI-1599.01,20.4415,0.14728,4.6,1.9,1.02,NA,NA,0.014,Transit
Kepler-277 c,33.006,NA,64.2,3.36,1.12,NA,NA,NA,Transit
Kepler-278 c,51.111,0.287,34.9,3.268,1.227,4965,492,0.616,Transit
Kepler-56 b,10.5016,0.1028,22.1,6.51,1.32,4840,NA,NA,Transit
Kepler-282 e,44.347,NA,56.2,3.1,0.97,NA,NA,NA,Transit
Kepler-23 d,15.27,NA,4.44,2.206,1.078,5828,NA,0.01,Transit
Kepler-553 c,328.24017,0.898,2129.4503269,11.57887706,0.889,5191,251,0.346,Transit
Kepler-167 e,1071.23205,1.883,321.00669107,10.16,0.777,4884,134.4,0.29,Transit
Kepler-177 b,36.8601,NA,5.84,3.5,0.921,5732,NA,0,Transit
Kepler-223 c,9.84564,NA,5.1,3.44,1.125,NA,NA,0.15,Transit
Kepler-31 c,42.6318,0.26,1493.7,5.3,1.21,6340,NA,NA,Transit
Kepler-24 b,8.14,NA,11.14,2.348,1.06,6028,NA,0.023,Transit
Kepler-80 e,4.64489,0.0491,4.13,1.6,0.73,4540,NA,NA,Transit
Kepler-223 b,7.3844900000000004,NA,7.4,2.99,1.125,NA,NA,0.078,Transit
Kepler-107 d,7.95839,0.08377,7.7,0.86,1.238,5854,1173,0.11,Transit
Kepler-23 b,7.1,NA,2.56,1.638,1.078,5828,NA,0.017,Transit
Kepler-80 d,3.07222,0.0372,6.75,1.53,0.73,4540,NA,NA,Transit
Kepler-62 e,122.3874,0.427,36,1.61,0.69,4925,270,NA,Transit
Kepler-223 e,19.72567,NA,4.8,4.6,1.125,NA,NA,0.051,Transit
Kepler-53 c,38.5583038,NA,36,3.17,0.98,5858,NA,NA,Transit
Kepler-31 d,87.6451,0.4,2161.244,3.9,1.21,6340,NA,NA,Transit
Kepler-11 b,10.3039,0.091,1.9,1.8,0.961,5663,NA,0.045,Transit
Kepler-18 b,3.504725,0.0447,6.9,2,0.972,5345,NA,0,Transit
Kepler-20 e,6.0984882,0.0637,0.76,0.821,0.929,5495,1004,0.092,Transit
Kepler-16 b,228.776,0.7048,105.833,8.4493,0.6897,4450,NA,0.0069,Transit
Kepler-408 b,2.46502,NA,5,0.82,1.08,6104,NA,NA,Transit
Kepler-76 b,1.5449298,0.0274,638.8383,15.24424,1.2,6409,2140,NA,Orbital Brightness Modulation
Kepler-323 c,3.5538229,0.0458,6.8,1.57,1.015,6004,1431,0.095,Transit
Kepler-416 b,6.319,NA,58.2,2.48,1,NA,NA,NA,Transit Timing Variations
Kepler-350 c,17.849,NA,6.1,3.1,1,NA,NA,NA,Transit
Kepler-328 c,71.312,NA,39.4,5.4,1.15,NA,NA,NA,Transit
Kepler-409 b,68.9583216,0.3192,6,1.199,0.913,5421,438,0.69,Transit
KOI-1783.01,134.4628,NA,71,8.86,1.076,5922,NA,0,Transit
Kepler-447 b,7.79430132,0.0769,435.41,18.49,1,5493,NA,0.123,Transit
Kepler-411 c,7.834435,0.0739,26.4,4.421,0.87,NA,838,0.108,Transit
Kepler-91 b,6.24658,0.0731,257.4423,15.322703,1.31,4550,2040,NA,Transit
Kepler-60 b,7.1334,NA,4.19,1.71,1.041,5905,NA,NA,Transit
Kepler-85 b,8.3,NA,1.84,1.778,0.928,5505.2,NA,0.02,Transit
Kepler-106 b,6.16486,NA,5.3,0.82,1,5858,NA,NA,Transit
Kepler-100 b,6.88734,NA,4.01,1.34,1.13,5837,NA,NA,Transit
Kepler-100 d,35.3331,NA,3,1.61,1.08,5825,NA,NA,Transit
Kepler-101 c,6.02976,0.0684,3.78,1.25,1.17,5667,1413,0,Transit
Kepler-20 f,19.578328,0.1387,1.4,0.952,0.929,5495,681,0.094,Transit
Kepler-102 f,27.453592,0.1656,4.3,0.861,0.803,4909,495,0.1,Transit
Kepler-102 c,7.071392,0.06702,1.7,0.567,0.803,4909,777,0.094,Transit
Kepler-102 b,5.286965,0.05521,1.1,0.46,0.803,4909,857,0.1,Transit
KOI-94 b,3.743208,0.05119,10.5,1.71,1.277,6182,1486,0.25,Transit
Kepler-37 c,21.301848,0.139,1.3,0.755,0.79,5357,615,0.099,Transit
Kepler-37 b,13.36702,0.1019,0.79,0.3098,0.79,5357,718,0.098,Transit
Kepler-68 c,9.605027,0.09008,1.3,0.979,1.057,5847,1052,0.099,Transit
Kepler-34 b,288.822,1.0896,69.92,8.564,1.0479,5913,NA,0.182,Transit
Kepler-276 d,48.648,NA,16.3,2.8,1.1,NA,NA,NA,Transit
Kepler-57 c,11.6,NA,6.86,2.196,0.859,5187.9,NA,0.0725,Transit
Kepler-128 c,22.8,NA,3.38,1.521,1.184,6072,NA,0.037,Transit
Kepler-58 c,15.5741568,NA,53,2.86,0.95,5843,NA,NA,Transit
Kepler-289 b,34.5383,NA,3.7,2.49,1.08,5990,NA,NA,Transit
Kepler-129 c,82.2,0.39,43,2.52,1.178,5770,NA,NA,Transit
Kepler-138 b,10.3134,0.0753,0.07,0.64,0.535,3841,452,0.02,Transit
Kepler-145 b,22.951,NA,37.1,2.65,1.32,NA,NA,NA,Transit
Kepler-391 b,7.4175,0.083,1100,2.5,1.27,5038,930,0.46,Transit
